"subject","object","probability"
"donald mëllugja","soccer player","1"
"siege of ambur","military conflict","1"
"dead to rights (series)","television show","1"
"musculoskeletal disorder","disease","1"
"joachim von kortzfleisch","military person","1"
"przecznia","village","1"
"madan lal shukla","politician","1"
"the woman at the crossroads","movie","1"
"alan webb (footballer)","soccer manager","1"
"chieve","settlement","1"
"sri ksetra","city","1"
"2003 tokyo verdy 1969 season","soccer club","1"
"2003 tokyo verdy 1969 season","soccer club season","1"
"stewart, texas","village","1"
"stijn streuvels","person","1"
"computer entertainment supplier's association","company","1"
"leo willis","person","1"
"borealis (2013 film)","television show","1"
"super play action football","video game","1"
"saline township, jefferson county, ohio","settlement","1"
"saline township, jefferson county, ohio","town","1"
"gemma whelan","person","1"
"ben harrison (footballer, born 1997)","soccer player","1"
"gergő szécsi","soccer player","1"
"maria tescanu rosetti","person","1"
"winfield, texas","settlement","1"
"winfield, texas","city","1"
"estadio fiscal de linares","stadium","1"
"estadio fiscal de linares","venue","1"
"charles f. conrad","person","1"
"cambridge station (minnesota)","station","1"
"tom mulholland (gaelic footballer)","gaelic games player","1"
"mark meseroll","american football player","1"
"mark martin","nascar driver","1"
"battle of alma","military conflict","1"
"tv tan ep","album","1"
"teresa franchini","person","1"
"danielle gregoire","politician","1"
"84th airlift flight","military unit","1"
"chico lanete","basketball player","1"
"21 (the paddingtons song)","single","1"
"21 (the paddingtons song)","song","1"
"chassiers","settlement","1"
"john keells it","company","1"
"bolbolenellus","animal","1"
"total control (band)","musical artist","1"
"carnegie mellon university in qatar","university","1"
"ali abdi (footballer)","soccer player","1"
"veselovka, voronezh oblast","settlement","1"
"sebastian francis shaw","cleric","1"
"pitara","insect","1"
"jori aro","curler","1"
"miserden","settlement","1"
"iowa chops","hockey team","1"
"sara jemai","athlete","1"
"denis rusu (footballer, born 2001)","soccer player","1"
"1922–23 blackpool f.c. season","soccer club season","1"
"murex megapex","mollusca","1"
"lake gairdner national park","administrative region","1"
"the edge of silence","album","1"
"chains (album)","album","1"
"electro magnetic unit","album","1"
"gautam srivastava","person","1"
"rhinoncus castor","insect","1"
"marshall g. jones","scientist","1"
"ryan taylor (north dakota politician)","office holder","1"
"valeria lukyanova","model","1"
"moolniwasi shudra to khalsa","movie","1"
"vesdre","river","1"
"borovica","settlement","1"
"dirk cussler","person","1"
"itzsoweezee (hot)","single","1"
"bokani soko","person","1"
"verone mckinley iii","american football player","1"
"daxing line, beijing subway","railway line","1"
"julianowo, masovian voivodeship","village","1"
"penn state university","university","1"
"lilleshall monument","monument","1"
"guido gozzano","writer","1"
"national museum of peru","museum","1"
"walter b. gage","college coach","1"
"premontre monastery church of zsámbék","historic building","1"
"haider ali khan","politician","1"
"2014/15 tpsl season","football league season","1"
"antonio madiona","painter","1"
"paracles contraria","insect","1"
"elena ferrante","writer","1"
"stormy weathers (film)","television show","1"
"no more words","song","1"
"bartodzieje, grójec county","village","1"
"thomas fairfax, 9th lord fairfax of cameron","person","1"
"thomas fairfax, 9th lord fairfax of cameron","noble","1"
"jim roddey","office holder","1"
"jim roddey","politician","1"
"topla reber","settlement","1"
"ioannis giangos","military person","1"
"ioannis giangos","politician","1"
"classical and quantum gravity","academic journal","1"
"juno and the paycock (film)","movie","1"
"jitsuko","given name","1"
"495 eulalia","planet","1"
"concord building","building","1"
"amitabh aurora","person","1"
"nico varela","soccer player","1"
"anastasio somoza portocarrero","person","1"
"henry l. langhaar","scientist","1"
"larry new","college coach","1"
"church of the virgin hodegetria (agrafenovka)","historic building","1"
"let me rock you","album","1"
"jakov, serbian archbishop","cleric","1"
"howard stevens","american football player","1"
"julie christie (producer)","person","1"
"restless: the best","album","1"
"uscgc rush (whec-723)","ship","1"
"william cleireach macleod","person","1"
"turkish cricket board","organisation","1"
"johann gottfried spiesshofer","person","1"
"edoardo bove","soccer player","1"
"the death of noah glass","book","1"
"tage frid","person","1"
"nadine epstein","person","1"
"africa bibliography","academic journal","1"
"yacambú national park","protected area","1"
"frederick roberts, 1st earl roberts","military person","1"
"jason silva","philosopher","1"
"jason silva","person","1"
"annette kar baxter","academic person","1"
"john corbett (royal navy officer)","military person","1"
"night time, my time","album","1"
"harry bonavia","athlete","1"
"pacificanada","television show","1"
"shoreham beach","park","1"
"tyris flare","fictional character","1"
"snowville historic district","historic place","1"
"tapentadol","drug","1"
"clinical schizophrenia & related psychoses","academic journal","1"
"ribose-5-phosphate—ammonia ligase","enzyme","1"
"manjula reddy","scientist","1"
"heart like a gun","album","1"
"iran, the most dangerous nation?","movie","1"
"armen petrosyan","martial artist","1"
"janis mcgavin","person","1"
"1959–60 coppa italia","soccer tournoment","1"
"claudio della penna","soccer player","1"
"ergodic theory and dynamical systems","academic journal","1"
"china international fund","company","1"
"nigel travis","person","1"
"manuel yarza","soccer player","1"
"mervyn johns","person","1"
"parectopa mnesicala","insect","1"
"mariano puch","soccer player","1"
"indian farmers fertiliser cooperative","company","1"
"omar duarte","soccer player","1"
"roderick johnson","american football player","1"
"ocean (film)","movie","1"
"1978 usac mini-indy series season","motorsport season","1"
"yooyoung (singer)","musical artist","1"
"oskar tennis champion","album","1"
"perfect dark (series)","television show","1"
"seven times down eight times up","album","1"
"konjari","village","1"
"félix bódog widder","artist","1"
"the earl and the girl","musical","1"
"st joseph's church, southampton","historic building","1"
"colorado state highway 53","road","1"
"john h. noble","person","1"
"bob blake (ice hockey)","ice hockey player","1"
"zauralie kurgan","soccer club","1"
"zauralie kurgan","hockey team","1"
"kaali khuhi","movie","1"
"omiostola splendissima","insect","1"
"hero (afrojack and david guetta song)","song","1"
"lapino, vyaznikovsky district, vladimir oblast","village","1"
"zgornja jevnica","settlement","1"
"froy gutierrez","person","1"
"bukowiec, brodnica county","village","1"
"paid programming (tv pilot)","television show","1"
"tuoba heru","noble","1"
"arusha","settlement","1"
"arusha","city","1"
"anthony m. frank","office holder","1"
"anthony m. frank","politician","1"
"ashita no kioku/crazy moon (kimi wa muteki)","single","1"
"akoranga busway station","station","1"
"old irion county courthouse","historic place","1"
"simpsons (department store)","company","1"
"ekua holmes","artist","1"
"queen of the pirates","movie","1"
"niu zhiyuan","athlete","1"
"roee avraham","squash player","1"
"henriciella aquimarina","bacteria","1"
"2017 nrlb championship","event","1"
"liebler-rohl gasoline station","historic place","1"
"nk špansko","soccer club","1"
"malcolm phillips","rugby player","1"
"harvey robinson","college coach","1"
"cheerfu11y","movie","1"
"h. c. mahadevappa","politician","1"
"mário ruivo","person","1"
"mozilla open software patent license","software","1"
"pedro josé lorenzo","soccer manager","1"
"tam airlines","company","1"
"loxonepea","animal","1"
"marco paolini (footballer)","soccer player","1"
"adrián solano (cross-country skier)","skier","1"
"quake ii engine","software","1"
"bandikhedi (census code 482082)","village","1"
"crystal brook (beaver kill tributary)","river","1"
"steffen lang","soccer player","1"
"kruopiai","town","1"
"thirlmere railway station, new south wales","station","1"
"fauja singh sarari","politician","1"
"edward kleinbard","person","1"
"eastern cables limited","organisation","1"
"kono aozora ni yakusoku o","manga","1"
"otis redding","musical artist","1"
"jedd gyorko","baseball player","1"
"dave glinka","soccer player","1"
"bessville, missouri","village","1"
"eisenmenger's syndrome","disease","1"
"the indian institute of world culture","university","1"
"white star, michigan","city","1"
"get over me","album","1"
"get over me","song","1"
"evan wallach","military person","1"
"evan wallach","politician","1"
"charlton media group (canada)","company","1"
"konkan gyanpeeth college of engineering","university","1"
"gobindashi union","settlement","1"
"vyron polydoras","office holder","1"
"nswrl women's premiership","rugby league","1"
"w. h. ravenscroft","office holder","1"
"w. h. ravenscroft","politician","1"
"uss little brothers (sp-921)","ship","1"
"sydney stakes","horse race","1"
"farmigo","company","1"
"marsvinsholm castle","castle","1"
"balázs bese","soccer player","1"
"chara selection","magazine","1"
"david a. brennen","academic person","1"
"jimmy cant","soccer player","1"
"flipside (album)","album","1"
"henko marais","rugby player","1"
"lynne ramsay","person","1"
"erie playhouse","venue","1"
"kamyennaya horka","station","1"
"eddy wilson (american football)","american football player","1"
"irmina gliszczyńska","sailor","1"
"room service (song)","single","1"
"room service (song)","song","1"
"daimler conquest","automobile","1"
"reg morelli","ice hockey player","1"
"kharamodun","settlement","1"
"maria anna vasa","royalty","1"
"laverton, victoria","settlement","1"
"sandy robertson (footballer born 1971)","soccer player","1"
"mega man (original series)","television show","1"
"matadero madrid","museum","1"
"vincent o'connell","person","1"
"posht par, mamasani","village","1"
"so far from god","book","1"
"joão moreira","soccer player","1"
"claire curtis-thomas","office holder","1"
"claire curtis-thomas","politician","1"
"fox broadcasting company","television station","1"
"now look","album","1"
"tales of vs.","video game","1"
"leonard hill (politician)","politician","1"
"köseli, kozan","village","1"
"joe gould's secret (film)","movie","1"
"bangalaia","insect","1"
"aachhat","village","1"
"meridian secondary school","school","1"
"fernhurst","settlement","1"
"cosmia","insect","1"
"darlung, gulmi","village","1"
"nigerian investment promotion commission","government agency","1"
"complete control","single","1"
"complete control","song","1"
"quintus caecilius metellus (consul 206 bc)","person","1"
"2014 national premier leagues","football league season","1"
"hamilton creek, queensland","settlement","1"
"the elizabethan madrigal singers","band","1"
"makoto minamiyama","basketball player","1"
"intramural","sport","1"
"2017–18 milton keynes dons f.c. season","soccer club season","1"
"1995 the citadel bulldogs football team","national collegiate athletic association team season","1"
"ulan-burgas","mountain","1"
"lance clow","politician","1"
"paraengine","company","1"
"archaeoglobus profundus","archaea","1"
"witter bynner","person","1"
"st. michael's fortress, šibenik","historic place","1"
"lake wisconsin, wisconsin","settlement","1"
"mutxamel","town","1"
"andré versini","person","1"
"chilliwack jets","hockey team","1"
"haliophyle compsias","insect","1"
"lily's driftwood bay","television show","1"
"wakasahiko shrine","religious building","1"
"onoe shoroku ii","actor","1"
"john johnston (indian agent)","politician","1"
"jack shutt (footballer)","soccer player","1"
"viasat sport 3","television station","1"
"cintia rodriguez","gymnast","1"
"batkovići, nevesinje","village","1"
"the ancient economy","book","1"
"1967–68 drexel dragons men's basketball team","national collegiate athletic association team season","1"
"heydarabad, tasuj","village","1"
"leslie bridges","cricketer","1"
"syed rashid ahmed jaunpuri","religious","1"
"millett opera house","historic place","1"
"ranch to market road 1832","road","1"
"chris macari","person","1"
"s.s. matera calcio","soccer club","1"
"parakode","village","1"
"paolo rossi (actor)","person","1"
"2009 japanese general election","election","1"
"st. clair balfour","person","1"
"ludwig norbert","soccer player","1"
"indian freedom fighter","person function","1"
"pterolophia oculata","insect","1"
"pliny earle i","person","1"
"hedens if","soccer club","1"
"junya ikeda","person","1"
"sachsen-class frigate","ship","1"
"rashid zadran","cricketer","1"
"greg davis (rugby union)","rugby player","1"
"thottilpalam","town","1"
"melbourne steam traction engine club","organisation","1"
"national captioning institute","organisation","1"
"phu bai combat base","airport","1"
"phu bai combat base","place","1"
"trachystolodes","insect","1"
"leipzig wilhelm-leuschner-platz railway station","station","1"
"mahindra xylo","automobile","1"
"kialla, victoria","administrative region","1"
"joe jones (rugby union)","rugby player","1"
"major league volleyball","volleyball league","1"
"bustin' down the door","movie","1"
"tosin kehinde","soccer player","1"
"haven of hope hospital","hospital","1"
"john jones (abolitionist)","person","1"
"daniel thiaw","athlete","1"
"white–haines building","building","1"
"stenotarsus vallatus","insect","1"
"your friend the rat","movie","1"
"bob johnson (ice hockey, born 1931)","ice hockey player","1"
"alfred von larisch","military person","1"
"leeds west (uk parliament constituency)","administrative region","1"
"aso olomouc","soccer club","1"
"if only (descendants song)","single","1"
"rade končar","politician","1"
"fatyanovo, tarnogsky district, vologda oblast","village","1"
"reality hunger","book","1"
"thundercat (musician)","musical artist","1"
"december 2002 serbian presidential election","election","1"
"shumai","food","1"
"cencio massola","sailor","1"
"1978–79 weber state wildcats men's basketball team","national collegiate athletic association team season","1"
"2021 northern peru earthquake","earthquake","1"
"2018–19 central michigan chippewas women's basketball team","national collegiate athletic association team season","1"
"kenneth blackburne","politician","1"
"william porterfield","cricketer","1"
"papilio weymeri","insect","1"
"yellow sky","movie","1"
"su yuliang","soccer player","1"
"1951 fc dinamo bucurești season","soccer club","1"
"1951 fc dinamo bucurești season","soccer club season","1"
"american heartbeat","single","1"
"baş zəyzid","town","1"
"shahrak-e alzahra","village","1"
"andré bergdølmo","soccer player","1"
"andré bergdølmo","soccer manager","1"
"stigmella kasyi","insect","1"
"ecc (eikaiwa)","company","1"
"all things must pass","album","1"
"edmond de knibber","athlete","1"
"taurasia striata","mollusca","1"
"anopheles tessellatus","insect","1"
"takashi ishii (baseball)","baseball player","1"
"wziv","radio station","1"
"1918 shantou earthquake","earthquake","1"
"franz lisp","programming language","1"
"fashion designer s/o ladies tailor","movie","1"
"jah cure","musical artist","1"
"christian oberth","person","1"
"hubstaff","company","1"
"suttor river","river","1"
"1999 slovak presidential election","election","1"
"100 miles and runnin'","album","1"
"gerda muller","athlete","1"
"louis t. wright","scientist","1"
"whiz kids (album)","album","1"
"jarmann harpoon rifle","weapon","1"
"saunulu","settlement","1"
"a.r. monex pro cycling team","cycling team","1"
"morrison & foerster","law firm","1"
"steve enich","american football player","1"
"coast guard station merrimack river","military structure","1"
"battle of doiran (1916)","military conflict","1"
"hugo daya","cyclist","1"
"stade municipal de avrankou","venue","1"
"ol' '55","song","1"
"ewa miszewska","military person","1"
"the enemy within (savage book)","book","1"
"okk dunav","basketball team","1"
"savoureux (hannibal)","television episode","1"
"poland national under-18 football team","soccer club","1"
"jordan shipley (footballer)","soccer player","1"
"in a roman osteria","artwork","1"
"fatelessness","book","1"
"william brown cooper","person","1"
"gustavianum","museum","1"
"ravenswood community church","historic place","1"
"garam khoon","movie","1"
"tumbo abanikanda","soccer player","1"
"actifsource","software","1"
"nowe miasto county","settlement","1"
"nowe miasto county","administrative region","1"
"1915 louisville cardinals football team","national collegiate athletic association team season","1"
"eugene van antwerp","politician","1"
"lakshmi n. menon","person","1"
"le migliori (album)","album","1"
"fury of the congo","movie","1"
"ammobium","insect","1"
"shelby kramp-neuman","politician","1"
"fifty years a hunter and trapper","book","1"
"ali kordan","office holder","1"
"ali kordan","politician","1"
"apodia","insect","1"
"biskupice, wolsztyn county","village","1"
"lisu people","ethnic group","1"
"clean feed records","record label","1"
"diana baciu","chess player","1"
"piduguralla bus station","station","1"
"apocalyptic fiction","music genre","1"
"kesselkogel","mountain","1"
"anderson schoolhouse","historic place","1"
"martha berenice álvarez tovar","person","1"
"redemption song (tv series)","television show","1"
"chabi-couma","town","1"
"plos","publisher","1"
"anderson santana","soccer player","1"
"bergen ballpark","venue","1"
"orangism (belgium)","political party","1"
"illinois school for the visually impaired","school","1"
"ożarów, lublin voivodeship","village","1"
"saginaw high school","school","1"
"the island (1934 film)","movie","1"
"superheaven","musical artist","1"
"superheaven","band","1"
"elegia (song)","song","1"
"shelbridge","historic place","1"
"ali salah hashim","soccer player","1"
"b. frank murphy","politician","1"
"underhill state park","park","1"
"freak kitchen","band","1"
"didn't even see the dust","song","1"
"1999–2000 rangers f.c. season","soccer club","1"
"1999–2000 rangers f.c. season","soccer club season","1"
"roy partee","baseball player","1"
"lipogya","insect","1"
"daniel mongrain","musical artist","1"
"george du maurier","person","1"
"george du maurier","writer","1"
"helmut vollprecht","athlete","1"
"marv blaylock","baseball player","1"
"coventry-eagle","company","1"
"liu lingling","gymnast","1"
"whitneyville, maine","settlement","1"
"whitneyville, maine","town","1"
"caicella","insect","1"
"2011–12 fc dynamo kyiv season","soccer club season","1"
"gatsibo district","settlement","1"
"gatsibo district","administrative region","1"
"adam roberts (footballer)","soccer player","1"
"gks katowice (ice hockey)","soccer club","1"
"gks katowice (ice hockey)","hockey team","1"
"george w. schmal","military person","1"
"raul gil","person","1"
"korabl-sputnik 2","space mission","1"
"wyvern lingo","band","1"
"rick dunn","athlete","1"
"thrombocythemia","disease","1"
"shenoy nagar","village","1"
"shenoy nagar","city district","1"
"wowie de guzman","person","1"
"al-hai district","administrative region","1"
"command.com","video game","1"
"command.com","software","1"
"navina omilade","soccer player","1"
"pittsburgh metropolitan area","settlement","1"
"rod macqueen","rugby player","1"
"akwa ibom state ministry of transport and petroleum","government agency","1"
"pass & move (it's the liverpool groove)","single","1"
"pass & move (it's the liverpool groove)","song","1"
"takuo godō","person","1"
"fran mérida","soccer player","1"
"ingemar jernberg","athlete","1"
"sadîc","village","1"
"institute of accounting and commerce","organisation","1"
"jay's longhorn bar","venue","1"
"pak gyong-chol (north korean football midfielder)","soccer player","1"
"werner sanne","military person","1"
"road (play)","play","1"
"madawala madige","village","1"
"tamedit","town","1"
"central bicol state university of agriculture","university","1"
"cheung po tsai cave","cave","1"
"elliott dexter","person","1"
"the great love (1969 film)","movie","1"
"honoré achim","office holder","1"
"honoré achim","politician","1"
"jiukouzi township","town","1"
"coast & country housing limited","company","1"
"new amsterdam, guyana","settlement","1"
"new amsterdam, guyana","town","1"
"thomas miller (bassist)","musical artist","1"
"todor pramatarov","soccer player","1"
"232","year","1"
"daniel fitzgerald (neighbours)","soap character","1"
"james wallace (philanthropist)","person","1"
"leonard dixon","athlete","1"
"nam joon-jae","soccer player","1"
"luc mullinder","soccer player","1"
"notophyson praxila","insect","1"
"huangnibang station","station","1"
"tom mcneil","australian rules football player","1"
"2022 exeter city council election","election","1"
"ruth hollick","person","1"
"jazz at the plaza vol. i","album","1"
"melbourne flats","historic place","1"
"deportivo iztacalco","soccer club","1"
"canada's got talent (season 2)","television season","1"
"kabelhorst","settlement","1"
"southern pacific 4294","locomotive","1"
"vh1 big in '05 awards","award","1"
"damaris phillips","person","1"
"damaris phillips","chef","1"
"la kiffance","song","1"
"mike mangan (musician)","musical artist","1"
"dolichoderus longicollis","insect","1"
"ungmennafélagið víkingur","soccer club","1"
"shipment from kihei (hawaiian eye)","album","1"
"gotham knights (video game)","video game","1"
"spring ridge baptist church","building","1"
"ted a. wells","person","1"
"hakan ayik","person","1"
"the great synagogue memorial park in oświęcim","park","1"
"the brown bunny","movie","1"
"ty burr","person","1"
"athens tango project","band","1"
"gillian treers","swimmer","1"
"antanamalaza","settlement","1"
"marcelo saraiva","soccer player","1"
"chris freeman (australian musician)","musical artist","1"
"travers–buttes railway","railway line","1"
"sncf class bb 67000","locomotive","1"
"j.b.s. haldane","scientist","1"
"sandra tarte","academic person","1"
"ralph w. aigler","person","1"
"michele riondino","person","1"
"polyamory: married & dating","television show","1"
"2004 uefa european under-21 championship","soccer tournoment","1"
"real republicans (ghanaian football club)","soccer club","1"
"kevin dynon","australian rules football player","1"
"sycamore meadows","album","1"
"olivia ward","person","1"
"nickson fong","person","1"
"champ summers","baseball player","1"
"unsubscribe (film)","movie","1"
"how we roll (tv series)","television show","1"
"battle of loznica","military conflict","1"
"vamsi krishna","person","1"
"brøndbyhallen","venue","1"
"kevin mccormick (movie producer)","musical artist","1"
"krzyż, warmian-masurian voivodeship","village","1"
"oudehaske","village","1"
"neyestaneh","village","1"
"cox's cove","town","1"
"arsène mersch","cyclist","1"
"kerisiano kalolo","politician","1"
"sphaerolobium","plant","1"
"cottontail on the trail","artwork","1"
"subarnalata (tv series)","television show","1"
"the saga of tanya the evil","manga","1"
"guy menzies","military person","1"
"gosławice, kuyavian-pomeranian voivodeship","village","1"
"the italian baker","company","1"
"prince george's plaza station","station","1"
"claude le pen","person","1"
"joseph newton (cricketer)","cricketer","1"
"an album of fluid motion","book","1"
"adhi, jalandhar","village","1"
"lichtenberg, mittelsachsen","settlement","1"
"1993 syracuse orangemen football team","national collegiate athletic association team season","1"
"waking a sleepwalker","album","1"
"lauren williams (taekwondo)","athlete","1"
"2014 ffsa season","football league season","1"
"averil leimon","writer","1"
"2015 colorado springs mayoral election","election","1"
"fort gorges","historic place","1"
"evaluation (journal)","academic journal","1"
"loreto, misiones","village","1"
"david kalivoda","soccer player","1"
"countdown (standiford novel)","album","1"
"hi jolly monument","building","1"
"steel city wanderers l.f.c.","soccer club","1"
"john phillip law","person","1"
"stanley c. walker","politician","1"
"return of the jedi: death star battle","video game","1"
"jack hobbs","cricketer","1"
"subhash modi","cricketer","1"
"jesús guzmán (baseball)","baseball player","1"
"kacho sikander khan","writer","1"
"be someone","song","1"
"ekuinas","company","1"
"john easton","office holder","1"
"john easton","politician","1"
"wobulenzi","settlement","1"
"rewari block of rewari district","settlement","1"
"1978 swedish open","tennis tournament","1"
"parnassius staudingeri","insect","1"
"julius ševčík","person","1"
"dziewiczy ług","village","1"
"2022 tampere open","tennis tournament","1"
"freddy quinn","musical artist","1"
"muhammad karam shah al-azhari","person","1"
"tilleda, wisconsin","settlement","1"
"conrad manila","hotel","1"
"hylocryptus","bird","1"
"george m. parker (united states army officer)","military person","1"
"kozluca, harmancık","village","1"
"the book of the book","book","1"
"conference league (speedway)","speedway league","1"
"nolan patrick","ice hockey player","1"
"dinogamasus","arachnid","1"
"khalaj-e malmir","village","1"
"bethenny frankel","person","1"
"duvie westcott","ice hockey player","1"
"filibuster (military)","person function","1"
"kalu sudu mal","movie","1"
"canadian security intelligence service","government agency","1"
"petri ag","company","1"
"otto a. harbach","musical artist","1"
"jean demannez","politician","1"
"marty walsh (politician)","office holder","1"
"welch allyn","company","1"
"katueté","town","1"
"william g. bennett (gaming executive)","person","1"
"verano de escándalo (2008)","wrestling event","1"
"the weapon (film)","movie","1"
"sassi punnu (1958 film)","movie","1"
"guilderland (hamlet), new york","settlement","1"
"graingers, north carolina","settlement","1"
